sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos051	35.899534046395068	-75.590376179563563	-32.524766789749265	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos052	35.899375950844508	-75.59028988138158	-32.684089693240821	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos053	35.899240692257742	-75.590220753743125	-32.705622687935829	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos054	35.899116655711765	-75.590134022203159	-32.803607310168445	0.014099999330937862	0.010400000028312206	RTK fixed	6319
ScanPos055	35.898965190612259	-75.58999176515907	-33.017534830607474	0.014099999330937862	0.010400000028312206	RTK fixed	6319
ScanPos056	35.898807144153409	-75.589913230823555	-32.965031712315977	0.014099999330937862	0.010300000198185444	RTK fixed	6319
ScanPos057	35.898648912930845	-75.589836094275526	-32.779056318104267	0.014099999330937862	0.010300000198185444	RTK fixed	6319
ScanPos058	35.898503017799733	-75.589773036908554	-32.631659455597401	0.014099999330937862	0.010300000198185444	RTK fixed	6319
ScanPos059	35.898342884820657	-75.589695315662979	-32.692375596612692	0.014099999330937862	0.010300000198185444	RTK fixed	6319
ScanPos060	35.898190524460702	-75.589622512810834	-32.504424757324159	0.014099999330937862	0.010199999436736107	RTK fixed	6319
ScanPos061	35.898028110376515	-75.58953968404704	-32.410238100215793	0.014099999330937862	0.010199999436736107	RTK fixed	6319
ScanPos062	35.897881503259434	-75.589457911877176	-32.345371975563467	0.014099999330937862	0.012199999764561653	RTK fixed	6319
ScanPos063	35.897731900214545	-75.589378598813241	-32.140976334922016	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos064	35.897591637408119	-75.589286455289155	-32.27386680059135	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos065	35.897447819739632	-75.589197965247351	-32.398390701971948	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos066	35.897289439597799	-75.589118474212398	-32.462154790759087	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos067	35.897106474000836	-75.589023986238885	-32.478238419629633	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos068	35.896978788578664	-75.588960577189368	-32.381119179539382	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos069	35.896826077441375	-75.588874754173489	-32.519185896031559	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos070	35.896665248039582	-75.588785642755752	-32.55217985343188	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos071	35.89651585033873	-75.588698198790937	-32.555516414344311	0.014099999330937862	0.014200000092387199	RTK fixed	6319
ScanPos072	35.896362213177895	-75.588622172955368	-32.557037552818656	0.014099999330937862	0.0139999995008111	RTK fixed	6319
ScanPos073	35.896224791072669	-75.588536193295738	-32.744794614613056	0.014099999330937862	0.013599999248981476	RTK fixed	6319
ScanPos074	35.896094364963965	-75.588462465193061	-32.738404711708426	0.014099999330937862	0.014699999243021011	RTK fixed	6319
ScanPos075	35.895970314573184	-75.58835453661824	-32.87756472826004	0.014099999330937862	0.013700000010430813	RTK fixed	6319
ScanPos076	35.895855446676357	-75.588253324173778	-33.09032532107085	0.014099999330937862	0.013799999840557575	RTK fixed	6319
ScanPos077	35.895702755995075	-75.588187566606877	-32.953509719111025	0.014099999330937862	0.013799999840557575	RTK fixed	6319
ScanPos078	35.895555768777804	-75.58811262087697	-32.757542275823653	0.014099999330937862	0.013899999670684338	RTK fixed	6319
ScanPos079	35.895407270272059	-75.588044281348076	-32.752244163304567	0.014099999330937862	0.013899999670684338	RTK fixed	6319
ScanPos080	35.895244244980624	-75.587964891218164	-32.645752298645675	0.014099999330937862	0.013899999670684338	RTK fixed	6319
ScanPos081	35.895094706358599	-75.587893273262921	-32.613497286103666	0.014099999330937862	0.0139999995008111	RTK fixed	6319
ScanPos082	35.894982449569071	-75.587836377382416	-32.917580115608871	0.68199998140335083	0.95299994945526123	RTK float	6319
ScanPos083	35.894840829440035	-75.587753010203173	-33.181231213733554	0.73299998044967651	0.98399996757507324	RTK float	6319
ScanPos084	35.8946913177938	-75.58767006272123	-32.435104455798864	0.52499997615814209	0.68999999761581421	RTK float	6319
ScanPos085	35.89453541533149	-75.587588435152	-32.410525389015675	0.42099997401237488	0.53899997472763062	RTK float	6319
ScanPos086	35.894436874031875	-75.587513155014207	-32.71867819968611	0.35699999332427979	0.44999998807907104	RTK float	6319
ScanPos087	35.894299737618788	-75.587361604505276	-33.314450318925083	0.29800000786781311	0.37900000810623169	RTK float	6319
ScanPos088	35.894171732206658	-75.587277506192677	-33.384493188001215	0.27599999308586121	0.35400000214576721	RTK float	6319
ScanPos089	35.894014932229545	-75.587226047569985	-33.128441491164267	0.21199999749660492	0.25799998641014099	RTK float	6319
ScanPos090	35.893838897656018	-75.587165615964025	-32.838721889071167	0.18199998140335083	0.23000000417232513	RTK float	6319
ScanPos091	35.893665211568219	-75.587145045428358	-32.694075987674296	0.014099999330937862	0.016899999231100082	RTK fixed	6319
ScanPos092	35.893481828129914	-75.587092839144404	-32.431090840138495	0.014099999330937862	0.014099999330937862	RTK fixed	6319
ScanPos093	35.893358849753767	-75.587000549850501	-32.463673295453191	0.014099999330937862	0.013799999840557575	RTK fixed	6319
ScanPos094	35.893245694572471	-75.586928760143678	-32.434248734265566	0.014099999330937862	0.018199998885393143	RTK fixed	6319
ScanPos095	35.893099053528289	-75.586848970243921	-32.387737912125885	0.014099999330937862	0.017500000074505806	RTK fixed	6319
ScanPos096	35.892947022364268	-75.586767789853312	-32.552399670705199	0.014099999330937862	0.020199999213218689	RTK fixed	6319
ScanPos097	35.892821400378899	-75.586712154220592	-32.388325397856534	0.014099999330937862	0.016300000250339508	RTK fixed	6319
ScanPos098	35.892657789120179	-75.586608945126784	-32.537563484162092	0.014099999330937862	0.019600000232458115	RTK fixed	6319
ScanPos099	35.89249149352068	-75.586502387190166	-32.565160606056452	0.014099999330937862	0.014599999412894249	RTK fixed	6319
ScanPos100	35.892346133693714	-75.586409295352823	-32.58740440942347	0.014099999330937862	0.013899999670684338	RTK fixed	6319
ScanPos101	35.892190296442138	-75.586321804257452	-32.522950584068894	0.014099999330937862	0.016899999231100082	RTK fixed	6319
ScanPos102	35.892047634836118	-75.586244213941214	-32.540497087873518	0.014099999330937862	0.018500000238418579	RTK fixed	6319
ScanPos103	35.891907080977816	-75.586171461028712	-32.491505962796509	0.014099999330937862	0.015399999916553497	RTK fixed	6319
ScanPos104	35.891773327042308	-75.586091623377399	-32.406821187585592	0.014099999330937862	0.013700000010430813	RTK fixed	6319
ScanPos105	35.89162233784694	-75.585992847693035	-32.51998268533498	0.014099999330937862	0.0139999995008111	RTK fixed	6319
ScanPos106	35.89147602277319	-75.585922836157977	-32.387691911309958	0.014099999330937862	0.013899999670684338	RTK fixed	6319
ScanPos107	35.891347328677561	-75.585858956221088	-32.421508842147887	0.014099999330937862	0.013799999840557575	RTK fixed	6319
ScanPos108	35.891196615543066	-75.585784821812339	-32.485958191566169	0.014099999330937862	0.013799999840557575	RTK fixed	6319
ScanPos109	35.891148739622778	-75.585764416307853	-32.479892689734697	0.014099999330937862	0.013799999840557575	RTK fixed	6319
